Weedsps,CallistoRate,Rateunit,RateM,RateunitM,RUN,Trt,Rep,Herbicide,DAT,IR,Dry weight,Biomass
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,1,Callisto,21,0,0.47,-2
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,2,Callisto,21,0,0.46,0
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,3,Callisto,21,0,0.49,-7
Waterhemp,0,fl oz/A,0,g AE/ha,1,1,4,Callisto,21,0,0.42,9
Waterhemp,1.5,fl oz/A,52.5,g AE/ha,1,2,1,Callisto,21,25,0.3,35
Waterhemp,1.5,fl oz/A,52.5,g AE/ha,1,2,2,Callisto,21,15,0.48,-4
Waterhemp,1.5,fl oz/A,52.5,g AE/ha,1,2,3,Callisto,21,10,0.41,11
Waterhemp,1.5,fl oz/A,52.5,g AE/ha,1,2,4,Callisto,21,20,0.24,48
Waterhemp,3,fl oz/A,105,g AE/ha,1,3,1,Callisto,21,20,0.28,39
Waterhemp,3,fl oz/A,105,g AE/ha,1,3,2,Callisto,21,35,0.43,7
Waterhemp,3,fl oz/A,105,g AE/ha,1,3,3,Callisto,21,35,0.35,24
Waterhemp,3,fl oz/A,105,g AE/ha,1,3,4,Callisto,21,20,0.42,9
Waterhemp,6,fl oz/A,210,g AE/ha,1,4,1,Callisto,21,30,0.31,33
Waterhemp,6,fl oz/A,210,g AE/ha,1,4,2,Callisto,21,35,0.22,52
Waterhemp,6,fl oz/A,210,g AE/ha,1,4,3,Callisto,21,40,0.29,37
Waterhemp,6,fl oz/A,210,g AE/ha,1,4,4,Callisto,21,50,0.15,67
Waterhemp,12,fl oz/A,420,g AE/ha,1,5,1,Callisto,21,55,0.33,28
Waterhemp,12,fl oz/A,420,g AE/ha,1,5,2,Callisto,21,55,0.21,54
Waterhemp,12,fl oz/A,420,g AE/ha,1,5,3,Callisto,21,60,0.27,41
Waterhemp,12,fl oz/A,210,g AE/ha,1,5,4,Callisto,21,55,0.29,37
Waterhemp,24,fl oz/A,840,g AE/ha,1,6,1,Callisto,21,50,0.28,39
Waterhemp,24,fl oz/A,840,g AE/ha,1,6,2,Callisto,21,60,0.27,41
Waterhemp,24,fl oz/A,840,g AE/ha,1,6,3,Callisto,21,80,0.04,91
Waterhemp,24,fl oz/A,840,g AE/ha,1,6,4,Callisto,21,60,0.21,54
Waterhemp,0,fl oz/A,0,g AE/ha,1,7,1,Laudis,21,0,0.33,7
Waterhemp,0,fl oz/A,0,g AE/ha,1,7,2,Laudis,21,0,0.29,18
Waterhemp,0,fl oz/A,0,g AE/ha,1,7,3,Laudis,21,0,0.32,10
Waterhemp,0,fl oz/A,0,g AE/ha,1,7,4,Laudis,21,0,0.48,-35
Waterhemp,1.5,fl oz/A,46,g AE/ha,1,8,1,Laudis,21,55,0.12,66
Waterhemp,1.5,fl oz/A,46,g AE/ha,1,8,2,Laudis,21,50,0.17,52
Waterhemp,1.5,fl oz/A,46,g AE/ha,1,8,3,Laudis,21,65,0.2,44
Waterhemp,1.5,fl oz/A,46,g AE/ha,1,8,4,Laudis,21,70,0.19,46
Waterhemp,3,fl oz/A,92,g AE/ha,1,9,1,Laudis,21,70,0.2,44
Waterhemp,3,fl oz/A,92,g AE/ha,1,9,2,Laudis,21,65,0.24,32
Waterhemp,3,fl oz/A,92,g AE/ha,1,9,3,Laudis,21,70,0.2,44
Waterhemp,3,fl oz/A,92,g AE/ha,1,9,4,Laudis,21,85,0.05,86
Waterhemp,6,fl oz/A,184,g AE/ha,1,10,1,Laudis,21,85,0.08,77
Waterhemp,6,fl oz/A,184,g AE/ha,1,10,2,Laudis,21,80,0.1,72
Waterhemp,6,fl oz/A,184,g AE/ha,1,10,3,Laudis,21,90,0.05,86
Waterhemp,6,fl oz/A,184,g AE/ha,1,10,4,Laudis,21,85,0.05,86
Waterhemp,12,fl oz/A,368,g AE/ha,1,11,1,Laudis,21,80,0.04,89
Waterhemp,12,fl oz/A,368,g AE/ha,1,11,2,Laudis,21,85,0.16,55
Waterhemp,12,fl oz/A,368,g AE/ha,1,11,3,Laudis,21,95,0.09,75
Waterhemp,12,fl oz/A,368,g AE/ha,1,11,4,Laudis,21,95,0.05,86
Waterhemp,24,fl oz/A,736,g AE/ha,1,12,1,Laudis,21,90,0.07,80
Waterhemp,24,fl oz/A,736,g AE/ha,1,12,2,Laudis,21,95,0.08,77
Waterhemp,24,fl oz/A,736,g AE/ha,1,12,3,Laudis,21,95,0.04,89
Waterhemp,24,fl oz/A,736,g AE/ha,1,12,4,Laudis,21,99,0.02,94
Waterhemp,0,fl oz/A,0,g AE/ha,1,13,1,Impact,21,0,0.39,13
Waterhemp,0,fl oz/A,0,g AE/ha,1,13,2,Impact,21,0,0.54,-20
Waterhemp,0,fl oz/A,0,g AE/ha,1,13,3,Impact,21,0,0.41,9
Waterhemp,0,fl oz/A,0,g AE/ha,1,13,4,Impact,21,0,0.46,-2
Waterhemp,0.5,fl oz/A,12.25,g AE/ha,1,14,1,Impact,21,60,0.25,44
Waterhemp,0.5,fl oz/A,12.25,g AE/ha,1,14,2,Impact,21,65,0.16,64
Waterhemp,0.5,fl oz/A,12.25,g AE/ha,1,14,3,Impact,21,70,0.07,84
Waterhemp,0.5,fl oz/A,12.25,g AE/ha,1,14,4,Impact,21,70,0.11,76
Waterhemp,1,fl oz/A,24.5,g AE/ha,1,15,1,Impact,21,75,0.17,62
Waterhemp,1,fl oz/A,24.5,g AE/ha,1,15,2,Impact,21,85,0.07,84
Waterhemp,1,fl oz/A,24.5,g AE/ha,1,15,3,Impact,21,80,0.16,64
Waterhemp,1,fl oz/A,24.5,g AE/ha,1,15,4,Impact,21,90,0.13,71
Waterhemp,2,fl oz/A,49,g AE/ha,1,16,1,Impact,21,85,0.11,76
Waterhemp,2,fl oz/A,49,g AE/ha,1,16,2,Impact,21,90,0.08,82
Waterhemp,2,fl oz/A,49,g AE/ha,1,16,3,Impact,21,95,0.05,89
Waterhemp,2,fl oz/A,49,g AE/ha,1,16,4,Impact,21,90,0.11,76
Waterhemp,4,fl oz/A,98,g AE/ha,1,17,1,Impact,21,99,0.06,87
Waterhemp,4,fl oz/A,98,g AE/ha,1,17,2,Impact,21,95,0.07,84
Waterhemp,4,fl oz/A,98,g AE/ha,1,17,3,Impact,21,95,0.12,73
Waterhemp,4,fl oz/A,98,g AE/ha,1,17,4,Impact,21,99,0.04,91
Waterhemp,8,fl oz/A,196,g AE/ha,1,18,1,Impact,21,95,0.11,76
Waterhemp,8,fl oz/A,196,g AE/ha,1,18,2,Impact,21,90,0.06,87
Waterhemp,8,fl oz/A,196,g AE/ha,1,18,3,Impact,21,95,0.08,82
Waterhemp,8,fl oz/A,196,g AE/ha,1,18,4,Impact,21,99,0.14,69
Waterhemp,0,fl oz/A,0,g AE/ha,2,1,1,Callisto,21,0,0.39,18
Waterhemp,0,fl oz/A,0,g AE/ha,2,1,2,Callisto,21,0,0.5,-5
Waterhemp,0,fl oz/A,0,g AE/ha,2,1,3,Callisto,21,0,0.35,26
Waterhemp,0,fl oz/A,0,g AE/ha,2,1,4,Callisto,21,0,0.66,-39
Waterhemp,1.5,fl oz/A,52.5,g AE/ha,2,2,1,Callisto,21,30,0.32,33
Waterhemp,1.5,fl oz/A,52.5,g AE/ha,2,2,2,Callisto,21,30,0.22,54
Waterhemp,1.5,fl oz/A,52.5,g AE/ha,2,2,3,Callisto,21,40,0.31,35
Waterhemp,1.5,fl oz/A,52.5,g AE/ha,2,2,4,Callisto,21,25,0.31,35
Waterhemp,3,fl oz/A,105,g AE/ha,2,3,1,Callisto,21,35,0.46,3
Waterhemp,3,fl oz/A,105,g AE/ha,2,3,2,Callisto,21,45,0.26,45
Waterhemp,3,fl oz/A,105,g AE/ha,2,3,3,Callisto,21,25,0.33,31
Waterhemp,3,fl oz/A,105,g AE/ha,2,3,4,Callisto,21,35,0.27,43
Waterhemp,6,fl oz/A,210,g AE/ha,2,4,1,Callisto,21,35,0.4,16
Waterhemp,6,fl oz/A,210,g AE/ha,2,4,2,Callisto,21,40,0.35,26
Waterhemp,6,fl oz/A,210,g AE/ha,2,4,3,Callisto,21,60,0.18,62
Waterhemp,6,fl oz/A,210,g AE/ha,2,4,4,Callisto,21,55,0.25,47
Waterhemp,12,fl oz/A,420,g AE/ha,2,5,1,Callisto,21,45,0.49,-3
Waterhemp,12,fl oz/A,420,g AE/ha,2,5,2,Callisto,21,55,0.2,58
Waterhemp,12,fl oz/A,420,g AE/ha,2,5,3,Callisto,21,50,0.3,37
Waterhemp,12,fl oz/A,210,g AE/ha,2,5,4,Callisto,21,50,0.2,58
Waterhemp,24,fl oz/A,840,g AE/ha,2,6,1,Callisto,21,60,0.23,52
Waterhemp,24,fl oz/A,840,g AE/ha,2,6,2,Callisto,21,70,0.1,79
Waterhemp,24,fl oz/A,840,g AE/ha,2,6,3,Callisto,21,50,0.31,35
Waterhemp,24,fl oz/A,840,g AE/ha,2,6,4,Callisto,21,65,0.13,73
Waterhemp,0,fl oz/A,0,g AE/ha,2,7,1,Laudis,21,0,0.27,21
Waterhemp,0,fl oz/A,0,g AE/ha,2,7,2,Laudis,21,0,0.4,-17
Waterhemp,0,fl oz/A,0,g AE/ha,2,7,3,Laudis,21,0,0.29,15
Waterhemp,0,fl oz/A,0,g AE/ha,2,7,4,Laudis,21,0,0.41,-20
Waterhemp,1.5,fl oz/A,46,g AE/ha,2,8,1,Laudis,21,40,0.09,74
Waterhemp,1.5,fl oz/A,46,g AE/ha,2,8,2,Laudis,21,40,0.11,68
Waterhemp,1.5,fl oz/A,46,g AE/ha,2,8,3,Laudis,21,35,0.3,12
Waterhemp,1.5,fl oz/A,46,g AE/ha,2,8,4,Laudis,21,45,0.1,71
Waterhemp,3,fl oz/A,92,g AE/ha,2,9,1,Laudis,21,55,0.12,65
Waterhemp,3,fl oz/A,92,g AE/ha,2,9,2,Laudis,21,60,0.07,80
Waterhemp,3,fl oz/A,92,g AE/ha,2,9,3,Laudis,21,50,0.12,65
Waterhemp,3,fl oz/A,92,g AE/ha,2,9,4,Laudis,21,60,0.08,77
Waterhemp,6,fl oz/A,184,g AE/ha,2,10,1,Laudis,21,60,0.2,42
Waterhemp,6,fl oz/A,184,g AE/ha,2,10,2,Laudis,21,70,0.04,88
Waterhemp,6,fl oz/A,184,g AE/ha,2,10,3,Laudis,21,70,0.1,71
Waterhemp,6,fl oz/A,184,g AE/ha,2,10,4,Laudis,21,75,0.09,74
Waterhemp,12,fl oz/A,368,g AE/ha,2,11,1,Laudis,21,80,0.16,53
Waterhemp,12,fl oz/A,368,g AE/ha,2,11,2,Laudis,21,85,0.05,85
Waterhemp,12,fl oz/A,368,g AE/ha,2,11,3,Laudis,21,75,0.14,59
Waterhemp,12,fl oz/A,368,g AE/ha,2,11,4,Laudis,21,95,0.07,80
Waterhemp,24,fl oz/A,736,g AE/ha,2,12,1,Laudis,21,95,0.13,62
Waterhemp,24,fl oz/A,736,g AE/ha,2,12,2,Laudis,21,90,0.14,59
Waterhemp,24,fl oz/A,736,g AE/ha,2,12,3,Laudis,21,80,0.07,80
Waterhemp,24,fl oz/A,736,g AE/ha,2,12,4,Laudis,21,99,0.05,85
Waterhemp,0,fl oz/A,0,g AE/ha,2,13,1,Impact,21,0,2.35,-16
Waterhemp,0,fl oz/A,0,g AE/ha,2,13,2,Impact,21,0,2.17,-7
Waterhemp,0,fl oz/A,0,g AE/ha,2,13,3,Impact,21,0,2.24,-11
Waterhemp,0,fl oz/A,0,g AE/ha,2,13,4,Impact,21,0,1.35,33
Waterhemp,0.5,fl oz/A,12.25,g AE/ha,2,14,1,Impact,21,90,0.35,83
Waterhemp,0.5,fl oz/A,12.25,g AE/ha,2,14,2,Impact,21,75,0.35,83
Waterhemp,0.5,fl oz/A,12.25,g AE/ha,2,14,3,Impact,21,60,0.45,78
Waterhemp,0.5,fl oz/A,12.25,g AE/ha,2,14,4,Impact,21,80,0.25,88
Waterhemp,1,fl oz/A,24.5,g AE/ha,2,15,1,Impact,21,70,0.4,80
Waterhemp,1,fl oz/A,24.5,g AE/ha,2,15,2,Impact,21,100,0.08,96
Waterhemp,1,fl oz/A,24.5,g AE/ha,2,15,3,Impact,21,55,0.4,80
Waterhemp,1,fl oz/A,24.5,g AE/ha,2,15,4,Impact,21,60,0.28,86
Waterhemp,2,fl oz/A,49,g AE/ha,2,16,1,Impact,21,85,0.29,86
Waterhemp,2,fl oz/A,49,g AE/ha,2,16,2,Impact,21,100,0.11,95
Waterhemp,2,fl oz/A,49,g AE/ha,2,16,3,Impact,21,90,0.29,86
Waterhemp,2,fl oz/A,49,g AE/ha,2,16,4,Impact,21,100,0.21,90
Waterhemp,4,fl oz/A,98,g AE/ha,2,17,1,Impact,21,95,0.17,92
Waterhemp,4,fl oz/A,98,g AE/ha,2,17,2,Impact,21,100,0.13,94
Waterhemp,4,fl oz/A,98,g AE/ha,2,17,3,Impact,21,100,0.2,90
Waterhemp,4,fl oz/A,98,g AE/ha,2,17,4,Impact,21,100,0.19,91
Waterhemp,8,fl oz/A,196,g AE/ha,2,18,1,Impact,21,100,0.11,95
Waterhemp,8,fl oz/A,196,g AE/ha,2,18,2,Impact,21,100,0.08,96
Waterhemp,8,fl oz/A,196,g AE/ha,2,18,3,Impact,21,100,0.07,97
Waterhemp,8,fl oz/A,196,g AE/ha,2,18,4,Impact,21,100,0.21,90
