Weedsps,Rate,RateunitM,Ratio,Run,Rep,Herbicide,DAT,Control,Biomass,BiomassR
Waterhemp,0,g AE/ha,0,1,1,Callisto,21,0,0.47,0
Waterhemp,0,g AE/ha,0,1,2,Callisto,21,0,0.46,0
Waterhemp,0,g AE/ha,0,1,3,Callisto,21,0,0.49,0
Waterhemp,0,g AE/ha,0,1,4,Callisto,21,0,0.42,0
Waterhemp,52.5,g AE/ha,0.5,1,1,Callisto,21,25,0.3,14.7826087
Waterhemp,52.5,g AE/ha,0.5,1,2,Callisto,21,15,0.48,25.65217391
Waterhemp,52.5,g AE/ha,0.5,1,3,Callisto,21,10,0.41,20.86956522
Waterhemp,52.5,g AE/ha,0.5,1,4,Callisto,21,20,0.24,27.82608696
Waterhemp,105,g AE/ha,1,1,1,Callisto,21,20,0.28,35
Waterhemp,105,g AE/ha,1,1,2,Callisto,21,35,0.43,20
Waterhemp,105,g AE/ha,1,1,3,Callisto,21,35,0.35,23.91304348
Waterhemp,105,g AE/ha,1,1,4,Callisto,21,20,0.42,29
Waterhemp,210,g AE/ha,2,1,1,Callisto,21,30,0.31,40
Waterhemp,210,g AE/ha,2,1,2,Callisto,21,35,0.22,52.17391304
Waterhemp,210,g AE/ha,2,1,3,Callisto,21,40,0.29,40
Waterhemp,210,g AE/ha,2,1,4,Callisto,21,50,0.15,51
Waterhemp,420,g AE/ha,4,1,1,Callisto,21,55,0.33,52
Waterhemp,420,g AE/ha,4,1,2,Callisto,21,55,0.21,54.34782609
Waterhemp,420,g AE/ha,4,1,3,Callisto,21,60,0.27,55
Waterhemp,420,g AE/ha,4,1,4,Callisto,21,55,0.29,45
Waterhemp,840,g AE/ha,8,1,1,Callisto,21,50,0.28,61
Waterhemp,840,g AE/ha,8,1,2,Callisto,21,60,0.27,60
Waterhemp,840,g AE/ha,8,1,3,Callisto,21,80,0.04,75
Waterhemp,840,g AE/ha,8,1,4,Callisto,21,60,0.21,54
Waterhemp,0,g AE/ha,0,1,1,Laudis,21,0,0.33,0
Waterhemp,0,g AE/ha,0,1,2,Laudis,21,0,0.29,0
Waterhemp,0,g AE/ha,0,1,3,Laudis,21,0,0.32,0
Waterhemp,0,g AE/ha,0,1,4,Laudis,21,0,0.48,0
Waterhemp,46,g AE/ha,0.5,1,1,Laudis,21,45,0.12,45
Waterhemp,46,g AE/ha,0.5,1,2,Laudis,21,40,0.17,52
Waterhemp,46,g AE/ha,0.5,1,3,Laudis,21,40,0.2,44
Waterhemp,46,g AE/ha,0.5,1,4,Laudis,21,45,0.19,46
Waterhemp,92,g AE/ha,1,1,1,Laudis,21,70,0.2,65
Waterhemp,92,g AE/ha,1,1,2,Laudis,21,65,0.24,68
Waterhemp,92,g AE/ha,1,1,3,Laudis,21,70,0.2,60
Waterhemp,92,g AE/ha,1,1,4,Laudis,21,75,0.05,65
Waterhemp,184,g AE/ha,2,1,1,Laudis,21,75,0.08,65
Waterhemp,184,g AE/ha,2,1,2,Laudis,21,75,0.1,70
Waterhemp,184,g AE/ha,2,1,3,Laudis,21,85,0.05,70
Waterhemp,184,g AE/ha,2,1,4,Laudis,21,85,0.05,75
Waterhemp,368,g AE/ha,4,1,1,Laudis,21,80,0.04,80
Waterhemp,368,g AE/ha,4,1,2,Laudis,21,85,0.16,80
Waterhemp,368,g AE/ha,4,1,3,Laudis,21,75,0.09,80
Waterhemp,368,g AE/ha,4,1,4,Laudis,21,85,0.05,80
Waterhemp,736,g AE/ha,8,1,1,Laudis,21,90,0.07,95
Waterhemp,736,g AE/ha,8,1,2,Laudis,21,95,0.08,95
Waterhemp,736,g AE/ha,8,1,3,Laudis,21,90,0.04,90
Waterhemp,736,g AE/ha,8,1,4,Laudis,21,99,0.02,95
Waterhemp,0,g AE/ha,0,1,1,Impact,21,0,0.39,0
Waterhemp,0,g AE/ha,0,1,2,Impact,21,0,0.54,0
Waterhemp,0,g AE/ha,0,1,3,Impact,21,0,0.41,0
Waterhemp,0,g AE/ha,0,1,4,Impact,21,0,0.46,0
Waterhemp,12.25,g AE/ha,0.5,1,1,Impact,21,60,0.25,64
Waterhemp,12.25,g AE/ha,0.5,1,2,Impact,21,60,0.16,64
Waterhemp,12.25,g AE/ha,0.5,1,3,Impact,21,65,0.07,60
Waterhemp,12.25,g AE/ha,0.5,1,4,Impact,21,65,0.11,65
Waterhemp,24.5,g AE/ha,1,1,1,Impact,21,65,0.17,62
Waterhemp,24.5,g AE/ha,1,1,2,Impact,21,75,0.07,84
Waterhemp,24.5,g AE/ha,1,1,3,Impact,21,70,0.16,64
Waterhemp,24.5,g AE/ha,1,1,4,Impact,21,85,0.13,71
Waterhemp,49,g AE/ha,2,1,1,Impact,21,85,0.11,76
Waterhemp,49,g AE/ha,2,1,2,Impact,21,85,0.08,82
Waterhemp,49,g AE/ha,2,1,3,Impact,21,90,0.05,89
Waterhemp,49,g AE/ha,2,1,4,Impact,21,85,0.11,76
Waterhemp,98,g AE/ha,4,1,1,Impact,21,99,0.06,90
Waterhemp,98,g AE/ha,4,1,2,Impact,21,95,0.07,95
Waterhemp,98,g AE/ha,4,1,3,Impact,21,90,0.12,85
Waterhemp,98,g AE/ha,4,1,4,Impact,21,90,0.04,91
Waterhemp,196,g AE/ha,8,1,1,Impact,21,95,0.11,90
Waterhemp,196,g AE/ha,8,1,2,Impact,21,90,0.06,87
Waterhemp,196,g AE/ha,8,1,3,Impact,21,95,0.08,90
Waterhemp,196,g AE/ha,8,1,4,Impact,21,99,0.14,99
Waterhemp,0,g AE/ha,0,2,1,Callisto,21,0,0.39,0
Waterhemp,0,g AE/ha,0,2,2,Callisto,21,0,0.5,0
Waterhemp,0,g AE/ha,0,2,3,Callisto,21,0,0.35,0
Waterhemp,0,g AE/ha,0,2,4,Callisto,21,0,0.66,0
Waterhemp,52.5,g AE/ha,0.5,2,1,Callisto,21,30,0.32,33
Waterhemp,52.5,g AE/ha,0.5,2,2,Callisto,21,30,0.22,35
Waterhemp,52.5,g AE/ha,0.5,2,3,Callisto,21,40,0.31,30
Waterhemp,52.5,g AE/ha,0.5,2,4,Callisto,21,25,0.31,25
Waterhemp,105,g AE/ha,1,2,1,Callisto,21,35,0.46,43
Waterhemp,105,g AE/ha,1,2,2,Callisto,21,45,0.26,45
Waterhemp,105,g AE/ha,1,2,3,Callisto,21,25,0.33,31
Waterhemp,105,g AE/ha,1,2,4,Callisto,21,35,0.27,43
Waterhemp,210,g AE/ha,2,2,1,Callisto,21,35,0.4,36
Waterhemp,210,g AE/ha,2,2,2,Callisto,21,40,0.35,40
Waterhemp,210,g AE/ha,2,2,3,Callisto,21,60,0.18,46
Waterhemp,210,g AE/ha,2,2,4,Callisto,21,55,0.25,47
Waterhemp,420,g AE/ha,4,2,1,Callisto,21,45,0.49,50
Waterhemp,420,g AE/ha,4,2,2,Callisto,21,55,0.2,58
Waterhemp,420,g AE/ha,4,2,3,Callisto,21,50,0.3,37
Waterhemp,210,g AE/ha,4,2,4,Callisto,21,50,0.2,58
Waterhemp,840,g AE/ha,8,2,1,Callisto,21,60,0.23,52
Waterhemp,840,g AE/ha,8,2,2,Callisto,21,70,0.1,60
Waterhemp,840,g AE/ha,8,2,3,Callisto,21,50,0.31,55
Waterhemp,840,g AE/ha,8,2,4,Callisto,21,65,0.13,73
Waterhemp,0,g AE/ha,0,2,1,Laudis,21,0,0.27,0
Waterhemp,0,g AE/ha,0,2,2,Laudis,21,0,0.4,0
Waterhemp,0,g AE/ha,0,2,3,Laudis,21,0,0.29,0
Waterhemp,0,g AE/ha,0,2,4,Laudis,21,0,0.41,0
Waterhemp,46,g AE/ha,0.5,2,1,Laudis,21,40,0.09,45
Waterhemp,46,g AE/ha,0.5,2,2,Laudis,21,40,0.11,55
Waterhemp,46,g AE/ha,0.5,2,3,Laudis,21,35,0.3,46
Waterhemp,46,g AE/ha,0.5,2,4,Laudis,21,40,0.1,40
Waterhemp,92,g AE/ha,1,2,1,Laudis,21,55,0.12,58
Waterhemp,92,g AE/ha,1,2,2,Laudis,21,60,0.07,55
Waterhemp,92,g AE/ha,1,2,3,Laudis,21,50,0.12,59
Waterhemp,92,g AE/ha,1,2,4,Laudis,21,60,0.08,60
Waterhemp,184,g AE/ha,2,2,1,Laudis,21,60,0.2,60
Waterhemp,184,g AE/ha,2,2,2,Laudis,21,70,0.04,65
Waterhemp,184,g AE/ha,2,2,3,Laudis,21,70,0.1,60
Waterhemp,184,g AE/ha,2,2,4,Laudis,21,75,0.09,70
Waterhemp,368,g AE/ha,4,2,1,Laudis,21,80,0.16,75
Waterhemp,368,g AE/ha,4,2,2,Laudis,21,85,0.05,80
Waterhemp,368,g AE/ha,4,2,3,Laudis,21,75,0.14,75
Waterhemp,368,g AE/ha,4,2,4,Laudis,21,80,0.07,80
Waterhemp,736,g AE/ha,8,2,1,Laudis,21,90,0.13,90
Waterhemp,736,g AE/ha,8,2,2,Laudis,21,90,0.14,90
Waterhemp,736,g AE/ha,8,2,3,Laudis,21,80,0.07,90
Waterhemp,736,g AE/ha,8,2,4,Laudis,21,90,0.05,95
Waterhemp,0,g AE/ha,0,2,1,Impact,21,0,2.35,0
Waterhemp,0,g AE/ha,0,2,2,Impact,21,0,2.17,0
Waterhemp,0,g AE/ha,0,2,3,Impact,21,0,2.24,0
Waterhemp,0,g AE/ha,0,2,4,Impact,21,0,1.35,0
Waterhemp,12.25,g AE/ha,0.5,2,1,Impact,21,60,0.35,65
Waterhemp,12.25,g AE/ha,0.5,2,2,Impact,21,65,0.35,60
Waterhemp,12.25,g AE/ha,0.5,2,3,Impact,21,60,0.45,55
Waterhemp,12.25,g AE/ha,0.5,2,4,Impact,21,60,0.25,70
Waterhemp,24.5,g AE/ha,1,2,1,Impact,21,70,0.4,80
Waterhemp,24.5,g AE/ha,1,2,2,Impact,21,70,0.08,80
Waterhemp,24.5,g AE/ha,1,2,3,Impact,21,65,0.4,80
Waterhemp,24.5,g AE/ha,1,2,4,Impact,21,70,0.28,86
Waterhemp,49,g AE/ha,2,2,1,Impact,21,85,0.29,86
Waterhemp,49,g AE/ha,2,2,2,Impact,21,99,0.11,95
Waterhemp,49,g AE/ha,2,2,3,Impact,21,90,0.29,86
Waterhemp,49,g AE/ha,2,2,4,Impact,21,99,0.21,90
Waterhemp,98,g AE/ha,4,2,1,Impact,21,95,0.17,92
Waterhemp,98,g AE/ha,4,2,2,Impact,21,95,0.13,94
Waterhemp,98,g AE/ha,4,2,3,Impact,21,90,0.2,90
Waterhemp,98,g AE/ha,4,2,4,Impact,21,95,0.19,91
Waterhemp,196,g AE/ha,8,2,1,Impact,21,90,0.11,95
Waterhemp,196,g AE/ha,8,2,2,Impact,21,95,0.08,96
Waterhemp,196,g AE/ha,8,2,3,Impact,21,90,0.07,97
Waterhemp,196,g AE/ha,8,2,4,Impact,21,95,0.21,99
Waterhemp,0,g AE/ha,0,1,1,CallistoS,21,0.0001,0.37,0.0001
Waterhemp,0,g AE/ha,0,1,2,CallistoS,21,0.0001,0.4,0.0001
Waterhemp,0,g AE/ha,0,1,3,CallistoS,21,0.0001,0.35,0.0001
Waterhemp,0,g AE/ha,0,1,4,CallistoS,21,0.0001,0.45,0.0001
Waterhemp,26.25,g AE/ha,0.25,1,1,CallistoS,21,40,0.25,50
Waterhemp,26.25,g AE/ha,0.25,1,2,CallistoS,21,60,0.18,54.14012739
Waterhemp,26.25,g AE/ha,0.25,1,3,CallistoS,21,55,0.19,60
Waterhemp,26.25,g AE/ha,0.25,1,4,CallistoS,21,65,0.14,64.33121019
Waterhemp,52.5,g AE/ha,0.5,1,1,CallistoS,21,65,0.15,61.78343949
Waterhemp,52.5,g AE/ha,0.5,1,2,CallistoS,21,60,0.17,60
Waterhemp,52.5,g AE/ha,0.5,1,3,CallistoS,21,60,0.33,70
Waterhemp,52.5,g AE/ha,0.5,1,4,CallistoS,21,65,0.16,59.23566879
Waterhemp,78.75,g AE/ha,0.75,1,1,CallistoS,21,65,0.12,80
Waterhemp,78.75,g AE/ha,0.75,1,2,CallistoS,21,65,0.12,80
Waterhemp,78.75,g AE/ha,0.75,1,3,CallistoS,21,65,0.13,85
Waterhemp,78.75,g AE/ha,0.75,1,4,CallistoS,21,70,0.08,79.61783439
Waterhemp,105,g AE/ha,1,1,1,CallistoS,21,90,0.03,92.3566879
Waterhemp,105,g AE/ha,1,1,2,CallistoS,21,85,0.03,92.3566879
Waterhemp,105,g AE/ha,1,1,3,CallistoS,21,80,0.01,97.4522293
Waterhemp,105,g AE/ha,1,1,4,CallistoS,21,90,0.02,94.9044586
Waterhemp,210,g AE/ha,2,1,1,CallistoS,21,85,0.01,97.4522293
Waterhemp,210,g AE/ha,2,1,2,CallistoS,21,90,0.05,87.2611465
Waterhemp,210,g AE/ha,2,1,3,CallistoS,21,99,0.01,97.4522293
Waterhemp,210,g AE/ha,2,1,4,CallistoS,21,99,0.01,97.4522293
Waterhemp,0,g AE/ha,0,2,1,CallistoS,21,0.0001,0.33,0.0001
Waterhemp,0,g AE/ha,0,2,2,CallistoS,21,0.0001,0.27,0.0001
Waterhemp,0,g AE/ha,0,2,3,CallistoS,21,0.0001,0.41,0.0001
Waterhemp,0,g AE/ha,0,2,4,CallistoS,21,0.0001,0.33,0.0001
Waterhemp,26.25,g AE/ha,0.25,2,1,CallistoS,21,50,0.09,70
Waterhemp,26.25,g AE/ha,0.25,2,2,CallistoS,21,45,0.09,50
Waterhemp,26.25,g AE/ha,0.25,2,3,CallistoS,21,55,0.04,70
Waterhemp,26.25,g AE/ha,0.25,2,4,CallistoS,21,55,0.08,60
Waterhemp,52.5,g AE/ha,0.5,2,1,CallistoS,21,75,0.09,73.13432836
Waterhemp,52.5,g AE/ha,0.5,2,2,CallistoS,21,60,0.08,76.11940299
Waterhemp,52.5,g AE/ha,0.5,2,3,CallistoS,21,70,0.03,80
Waterhemp,52.5,g AE/ha,0.5,2,4,CallistoS,21,85,0.01,85
Waterhemp,78.75,g AE/ha,0.75,2,1,CallistoS,21,85,0.04,88.05970149
Waterhemp,78.75,g AE/ha,0.75,2,2,CallistoS,21,90,0.03,85
Waterhemp,78.75,g AE/ha,0.75,2,3,CallistoS,21,80,0.05,85.07462687
Waterhemp,78.75,g AE/ha,0.75,2,4,CallistoS,21,85,0.09,73.13432836
Waterhemp,105,g AE/ha,1,2,1,CallistoS,21,85,0.01,97.01492537
Waterhemp,105,g AE/ha,1,2,2,CallistoS,21,99,0.03,91.04477612
Waterhemp,105,g AE/ha,1,2,3,CallistoS,21,90,0.02,94.02985075
Waterhemp,105,g AE/ha,1,2,4,CallistoS,21,99,0.02,94.02985075
Waterhemp,210,g AE/ha,2,2,1,CallistoS,21,99,0.01,97.01492537
Waterhemp,210,g AE/ha,2,2,2,CallistoS,21,99,0.02,94.02985075
Waterhemp,210,g AE/ha,2,2,3,CallistoS,21,99,0.02,94.02985075
Waterhemp,210,g AE/ha,2,2,4,CallistoS,21,99,0.01,97.01492537
Waterhemp,0,g AE/ha,0,1,1,LaudisS,21,0,0.42,0
Waterhemp,0,g AE/ha,0,1,2,LaudisS,21,0,0.38,0
Waterhemp,0,g AE/ha,0,1,3,LaudisS,21,0,0.31,0
Waterhemp,0,g AE/ha,0,1,4,LaudisS,21,0,0.39,0
Waterhemp,23,g AE/ha,0.25,1,1,LaudisS,21,75,0.15,70
Waterhemp,23,g AE/ha,0.25,1,2,LaudisS,21,70,0.12,72
Waterhemp,23,g AE/ha,0.25,1,3,LaudisS,21,75,0.14,75
Waterhemp,23,g AE/ha,0.25,1,4,LaudisS,21,85,0.12,68
Waterhemp,46,g AE/ha,0.5,1,1,LaudisS,21,80,0.08,78.66666667
Waterhemp,46,g AE/ha,0.5,1,2,LaudisS,21,85,0.09,76
Waterhemp,46,g AE/ha,0.5,1,3,LaudisS,21,90,0.07,81.33333333
Waterhemp,46,g AE/ha,0.5,1,4,LaudisS,21,85,0.071,81.06666667
Waterhemp,69,g AE/ha,0.75,1,1,LaudisS,21,95,0.01,97.33333333
Waterhemp,69,g AE/ha,0.75,1,2,LaudisS,21,90,0.01,97.33333333
Waterhemp,69,g AE/ha,0.75,1,3,LaudisS,21,95,0.02,94.66666667
Waterhemp,69,g AE/ha,0.75,1,4,LaudisS,21,95,0.04,89.33333333
Waterhemp,92,g AE/ha,1,1,1,LaudisS,21,95,0.01,97.33333333
Waterhemp,92,g AE/ha,1,1,2,LaudisS,21,95,0.02,94.66666667
Waterhemp,92,g AE/ha,1,1,3,LaudisS,21,99,0.01,97.33333333
Waterhemp,92,g AE/ha,1,1,4,LaudisS,21,99,0.01,97.33333333
Waterhemp,184,g AE/ha,2,1,1,LaudisS,21,99,0.01,97.33333333
Waterhemp,184,g AE/ha,2,1,2,LaudisS,21,99,0.02,94.66666667
Waterhemp,184,g AE/ha,2,1,3,LaudisS,21,99,0.01,97.33333333
Waterhemp,184,g AE/ha,2,1,4,LaudisS,21,99,0.01,97.33333333
Waterhemp,0,g AE/ha,0,2,1,LaudisS,21,0,0.33,0
Waterhemp,0,g AE/ha,0,2,2,LaudisS,21,0,0.27,0
Waterhemp,0,g AE/ha,0,2,3,LaudisS,21,0,0.49,0
Waterhemp,0,g AE/ha,0,2,4,LaudisS,21,0,0.41,0
Waterhemp,23,g AE/ha,0.25,2,1,LaudisS,21,70,0.12,75
Waterhemp,23,g AE/ha,0.25,2,2,LaudisS,21,75,0.13,70
Waterhemp,23,g AE/ha,0.25,2,3,LaudisS,21,70,0.15,70
Waterhemp,23,g AE/ha,0.25,2,4,LaudisS,21,65,0.15,71
Waterhemp,46,g AE/ha,0.5,2,1,LaudisS,21,95,0.07,81.33333333
Waterhemp,46,g AE/ha,0.5,2,2,LaudisS,21,95,0.05,86.66666667
Waterhemp,46,g AE/ha,0.5,2,3,LaudisS,21,80,0.05,86.66666667
Waterhemp,46,g AE/ha,0.5,2,4,LaudisS,21,80,0.08,81
Waterhemp,69,g AE/ha,0.75,2,1,LaudisS,21,90,0.04,89.33333333
Waterhemp,69,g AE/ha,0.75,2,2,LaudisS,21,95,0.02,94.66666667
Waterhemp,69,g AE/ha,0.75,2,3,LaudisS,21,90,0.02,94.66666667
Waterhemp,69,g AE/ha,0.75,2,4,LaudisS,21,80,0.02,94.66666667
Waterhemp,92,g AE/ha,1,2,1,LaudisS,21,99,0.01,97.33333333
Waterhemp,92,g AE/ha,1,2,2,LaudisS,21,95,0.01,97.33333333
Waterhemp,92,g AE/ha,1,2,3,LaudisS,21,85,0.01,97.33333333
Waterhemp,92,g AE/ha,1,2,4,LaudisS,21,95,0.01,97.33333333
Waterhemp,184,g AE/ha,2,2,1,LaudisS,21,99,0.01,97.33333333
Waterhemp,184,g AE/ha,2,2,2,LaudisS,21,99,0.01,97.33333333
Waterhemp,184,g AE/ha,2,2,3,LaudisS,21,99,0.01,97.33333333
Waterhemp,184,g AE/ha,2,2,4,LaudisS,21,99,0.01,97.33333333
Waterhemp,0,g AE/ha,0,1,1,ImpactS,21,0.0001,0.26,0.0001
Waterhemp,0,g AE/ha,0,1,2,ImpactS,21,0.0001,0.34,0.0001
Waterhemp,0,g AE/ha,0,1,3,ImpactS,21,0.0001,0.21,0.0001
Waterhemp,0,g AE/ha,0,1,4,ImpactS,21,0.0001,0.49,0.0001
Waterhemp,6.125,g AE/ha,0.25,1,1,ImpactS,21,75,0.07,78.46153846
Waterhemp,6.125,g AE/ha,0.25,1,2,ImpactS,21,75,0.07,78.46153846
Waterhemp,6.125,g AE/ha,0.25,1,3,ImpactS,21,70,0.1,69.23076923
Waterhemp,6.125,g AE/ha,0.25,1,4,ImpactS,21,75,0.11,66.15384615
Waterhemp,12.25,g AE/ha,0.5,1,1,ImpactS,21,85,0.14,80
Waterhemp,12.25,g AE/ha,0.5,1,2,ImpactS,21,80,0.08,90
Waterhemp,12.25,g AE/ha,0.5,1,3,ImpactS,21,80,0.1,80
Waterhemp,12.25,g AE/ha,0.5,1,4,ImpactS,21,85,0.12,90
Waterhemp,18.375,g AE/ha,0.75,1,1,ImpactS,21,85,0.07,85
Waterhemp,18.375,g AE/ha,0.75,1,2,ImpactS,21,80,0.08,85
Waterhemp,18.375,g AE/ha,0.75,1,3,ImpactS,21,90,0.07,90
Waterhemp,18.375,g AE/ha,0.75,1,4,ImpactS,21,90,0.01,96.92307692
Waterhemp,24.5,g AE/ha,1,1,1,ImpactS,21,90,0.03,90.76923077
Waterhemp,24.5,g AE/ha,1,1,2,ImpactS,21,95,0.05,84.61538462
Waterhemp,24.5,g AE/ha,1,1,3,ImpactS,21,95,0.02,93.84615385
Waterhemp,24.5,g AE/ha,1,1,4,ImpactS,21,95,0.01,96.92307692
Waterhemp,49,g AE/ha,2,1,1,ImpactS,21,90,0.01,96.92307692
Waterhemp,49,g AE/ha,2,1,2,ImpactS,21,90,0.01,96.92307692
Waterhemp,49,g AE/ha,2,1,3,ImpactS,21,99,0.06,99
Waterhemp,49,g AE/ha,2,1,4,ImpactS,21,95,0.1,95
Waterhemp,0,g AE/ha,0,2,1,ImpactS,21,0.0001,0.63,0.0001
Waterhemp,0,g AE/ha,0,2,2,ImpactS,21,0.0001,0.6,0.0001
Waterhemp,0,g AE/ha,0,2,3,ImpactS,21,0.0001,0.67,0.0001
Waterhemp,0,g AE/ha,0,2,4,ImpactS,21,0.0001,0.63,0.0001
Waterhemp,6.125,g AE/ha,0.25,2,1,ImpactS,21,70,0.22,65.2173913
Waterhemp,6.125,g AE/ha,0.25,2,2,ImpactS,21,75,0.15,76.28458498
Waterhemp,6.125,g AE/ha,0.25,2,3,ImpactS,21,70,0.15,76.28458498
Waterhemp,6.125,g AE/ha,0.25,2,4,ImpactS,21,70,0.09,85.77075099
Waterhemp,12.25,g AE/ha,0.5,2,1,ImpactS,21,99,0.05,92.09486166
Waterhemp,12.25,g AE/ha,0.5,2,2,ImpactS,21,85,0.04,93.67588933
Waterhemp,12.25,g AE/ha,0.5,2,3,ImpactS,21,90,0.03,95.256917
Waterhemp,12.25,g AE/ha,0.5,2,4,ImpactS,21,90,0.06,90.51383399
Waterhemp,18.375,g AE/ha,0.75,2,1,ImpactS,21,99,0.01,98.41897233
Waterhemp,18.375,g AE/ha,0.75,2,2,ImpactS,21,90,0.05,92.09486166
Waterhemp,18.375,g AE/ha,0.75,2,3,ImpactS,21,95,0.05,92.09486166
Waterhemp,18.375,g AE/ha,0.75,2,4,ImpactS,21,99,0.05,92.09486166
Waterhemp,24.5,g AE/ha,1,2,1,ImpactS,21,99,0.05,92.09486166
Waterhemp,24.5,g AE/ha,1,2,2,ImpactS,21,99,0.01,98.41897233
Waterhemp,24.5,g AE/ha,1,2,3,ImpactS,21,99,0.01,98.41897233
Waterhemp,24.5,g AE/ha,1,2,4,ImpactS,21,99,0.01,98.41897233
Waterhemp,49,g AE/ha,2,2,1,ImpactS,21,99,0.01,98.41897233
Waterhemp,49,g AE/ha,2,2,2,ImpactS,21,99,0.01,98.41897233
Waterhemp,49,g AE/ha,2,2,3,ImpactS,21,99,0.01,98.41897233
Waterhemp,49,g AE/ha,2,2,4,ImpactS,21,99,0.01,98.41897233
