Weedsps,year,CallistoRate,Rateunit,RateM,RateunitM,Rep,Herbicide,DAT,IR,1g/4m2,DWR
Waterhemp,2012,0,fl oz/A,0,g AE/ha,1,Callisto,21,0.0001,56.4,0.0001
Waterhemp,2012,0,fl oz/A,0,g AE/ha,2,Callisto,21,0.0001,86.5,0.0001
Waterhemp,2012,0,fl oz/A,0,g AE/ha,3,Callisto,21,0.0001,74.7,0.0001
Waterhemp,2012,3,fl oz/A,105,g AE/ha,1,Callisto,21,50,10.3,45
Waterhemp,2012,3,fl oz/A,105,g AE/ha,2,Callisto,21,50,11.2,40
Waterhemp,2012,3,fl oz/A,105,g AE/ha,3,Callisto,21,40,50,50
Waterhemp,2012,6,fl oz/A,210,g AE/ha,1,Callisto,21,40,17.2,45
Waterhemp,2012,6,fl oz/A,210,g AE/ha,2,Callisto,21,40,28.8,50
Waterhemp,2012,6,fl oz/A,210,g AE/ha,3,Callisto,21,38,32.5,50
Waterhemp,2012,12,fl oz/A,420,g AE/ha,1,Callisto,21,50,19.6,60
Waterhemp,2012,12,fl oz/A,420,g AE/ha,2,Callisto,21,70,3.1,65
Waterhemp,2012,12,fl oz/A,420,g AE/ha,3,Callisto,21,60,33.1,65
Waterhemp,2012,24,fl oz/A,840,g AE/ha,1,Callisto,21,50,20.1,70
Waterhemp,2012,24,fl oz/A,840,g AE/ha,2,Callisto,21,60,7.1,65
Waterhemp,2012,24,fl oz/A,840,g AE/ha,3,Callisto,21,60,6.8,70
Waterhemp,2013,0,fl oz/A,0,g AE/ha,1,Callisto,21,0.0001,41.9,0.0001
Waterhemp,2013,0,fl oz/A,0,g AE/ha,2,Callisto,21,0.0001,83.7,0.0001
Waterhemp,2013,0,fl oz/A,0,g AE/ha,3,Callisto,21,0.0001,99.2,0.0001
Waterhemp,2013,3,fl oz/A,105,g AE/ha,1,Callisto,21,50,12.7,45
Waterhemp,2013,3,fl oz/A,105,g AE/ha,2,Callisto,21,40,27.2,40
Waterhemp,2013,3,fl oz/A,105,g AE/ha,3,Callisto,21,40,55.8,52
Waterhemp,2013,6,fl oz/A,210,g AE/ha,1,Callisto,21,50,6.7,50
Waterhemp,2013,6,fl oz/A,210,g AE/ha,2,Callisto,21,50,52.5,55
Waterhemp,2013,6,fl oz/A,210,g AE/ha,3,Callisto,21,55,32,55
Waterhemp,2013,12,fl oz/A,420,g AE/ha,1,Callisto,21,60,17.2,70
Waterhemp,2013,12,fl oz/A,420,g AE/ha,2,Callisto,21,70,3.2,70
Waterhemp,2013,12,fl oz/A,420,g AE/ha,3,Callisto,21,75,8.9,60
Waterhemp,2013,24,fl oz/A,840,g AE/ha,1,Callisto,21,50,16.2,70
Waterhemp,2013,24,fl oz/A,840,g AE/ha,2,Callisto,21,75,10.9,70
Waterhemp,2013,24,fl oz/A,840,g AE/ha,3,Callisto,21,80,5.9,75
Waterhemp,2014,0,fl oz/A,0,g AE/ha,1,Callisto,21,0.0001,48.9,0.0001
Waterhemp,2014,0,fl oz/A,0,g AE/ha,2,Callisto,21,0.0001,46.1,0.0001
Waterhemp,2014,0,fl oz/A,0,g AE/ha,3,Callisto,21,0.0001,56.5,0.0001
Waterhemp,2014,3,fl oz/A,105,g AE/ha,1,Callisto,21,40,9.8,45
Waterhemp,2014,3,fl oz/A,105,g AE/ha,2,Callisto,21,20,13.9,45
Waterhemp,2014,3,fl oz/A,105,g AE/ha,3,Callisto,21,40,10.8,40
Waterhemp,2014,6,fl oz/A,210,g AE/ha,1,Callisto,21,40,29.2,40
Waterhemp,2014,6,fl oz/A,210,g AE/ha,2,Callisto,21,40,4.5,45
Waterhemp,2014,6,fl oz/A,210,g AE/ha,3,Callisto,21,40,10,50
Waterhemp,2014,12,fl oz/A,420,g AE/ha,1,Callisto,21,70,3.9,70
Waterhemp,2014,12,fl oz/A,420,g AE/ha,2,Callisto,21,70,0.8,65
Waterhemp,2014,12,fl oz/A,420,g AE/ha,3,Callisto,21,70,4.2,70
Waterhemp,2014,24,fl oz/A,840,g AE/ha,1,Callisto,21,85,0.7,70
Waterhemp,2014,24,fl oz/A,840,g AE/ha,2,Callisto,21,85,0.4,70
Waterhemp,2014,24,fl oz/A,840,g AE/ha,3,Callisto,21,80,1.7,75
Waterhemp,2012,0,fl oz/A,0,g AE/ha,1,Laudis,21,0.0001,93.9,0.0001
Waterhemp,2012,0,fl oz/A,0,g AE/ha,2,Laudis,21,0.0001,75.2,0.0001
Waterhemp,2012,0,fl oz/A,0,g AE/ha,3,Laudis,21,0.0001,58.5,0.0001
Waterhemp,2012,3,fl oz/A,92,g AE/ha,1,Laudis,21,80,3.3,70
Waterhemp,2012,3,fl oz/A,92,g AE/ha,2,Laudis,21,50,29.8,60
Waterhemp,2012,3,fl oz/A,92,g AE/ha,3,Laudis,21,60,9.6,65
Waterhemp,2012,6,fl oz/A,184,g AE/ha,1,Laudis,21,90,8.6,70
Waterhemp,2012,6,fl oz/A,184,g AE/ha,2,Laudis,21,85,4.4,75
Waterhemp,2012,6,fl oz/A,184,g AE/ha,3,Laudis,21,65,40.9,70
Waterhemp,2012,12,fl oz/A,368,g AE/ha,1,Laudis,21,90,4.9,90
Waterhemp,2012,12,fl oz/A,368,g AE/ha,2,Laudis,21,85,3.1,95
Waterhemp,2012,12,fl oz/A,368,g AE/ha,3,Laudis,21,90,2,90
Waterhemp,2012,24,fl oz/A,736,g AE/ha,1,Laudis,21,97,0.5,98
Waterhemp,2012,24,fl oz/A,736,g AE/ha,2,Laudis,21,97,1.2,95
Waterhemp,2012,24,fl oz/A,736,g AE/ha,3,Laudis,21,99,0,99
Waterhemp,2013,0,fl oz/A,0,g AE/ha,1,Laudis,21,0.0001,71,0.0001
Waterhemp,2013,0,fl oz/A,0,g AE/ha,2,Laudis,21,0.0001,91.9,0.0001
Waterhemp,2013,0,fl oz/A,0,g AE/ha,3,Laudis,21,0.0001,26,0.0001
Waterhemp,2013,3,fl oz/A,92,g AE/ha,1,Laudis,21,80,7.8,65
Waterhemp,2013,3,fl oz/A,92,g AE/ha,2,Laudis,21,50,9.6,70
Waterhemp,2013,3,fl oz/A,92,g AE/ha,3,Laudis,21,60,21.5,67
Waterhemp,2013,6,fl oz/A,184,g AE/ha,1,Laudis,21,92,1,75
Waterhemp,2013,6,fl oz/A,184,g AE/ha,2,Laudis,21,90,1.3,80
Waterhemp,2013,6,fl oz/A,184,g AE/ha,3,Laudis,21,70,12.2,75
Waterhemp,2013,12,fl oz/A,368,g AE/ha,1,Laudis,21,99,0.7,90
Waterhemp,2013,12,fl oz/A,368,g AE/ha,2,Laudis,21,90,4.1,93
Waterhemp,2013,12,fl oz/A,368,g AE/ha,3,Laudis,21,80,3.6,85
Waterhemp,2013,24,fl oz/A,736,g AE/ha,1,Laudis,21,95,1.6,90
Waterhemp,2013,24,fl oz/A,736,g AE/ha,2,Laudis,21,99,0,99
Waterhemp,2013,24,fl oz/A,736,g AE/ha,3,Laudis,21,99,0,99
Waterhemp,2014,0,fl oz/A,0,g AE/ha,1,Laudis,21,0.0001,56.6,0.0001
Waterhemp,2014,0,fl oz/A,0,g AE/ha,2,Laudis,21,0.0001,37.5,0.0001
Waterhemp,2014,0,fl oz/A,0,g AE/ha,3,Laudis,21,0.0001,72.1,0.0001
Waterhemp,2014,3,fl oz/A,92,g AE/ha,1,Laudis,21,40,13,70
Waterhemp,2014,3,fl oz/A,92,g AE/ha,2,Laudis,21,70,1.7,75
Waterhemp,2014,3,fl oz/A,92,g AE/ha,3,Laudis,21,70,4,70
Waterhemp,2014,6,fl oz/A,184,g AE/ha,1,Laudis,21,65,2,75
Waterhemp,2014,6,fl oz/A,184,g AE/ha,2,Laudis,21,75,1.4,75
Waterhemp,2014,6,fl oz/A,184,g AE/ha,3,Laudis,21,70,0.4,70
Waterhemp,2014,12,fl oz/A,368,g AE/ha,1,Laudis,21,80,1.4,90
Waterhemp,2014,12,fl oz/A,368,g AE/ha,2,Laudis,21,90,0,95
Waterhemp,2014,12,fl oz/A,368,g AE/ha,3,Laudis,21,95,0,95
Waterhemp,2014,24,fl oz/A,736,g AE/ha,1,Laudis,21,95,0.2,94
Waterhemp,2014,24,fl oz/A,736,g AE/ha,2,Laudis,21,90,0,99
Waterhemp,2014,24,fl oz/A,736,g AE/ha,3,Laudis,21,90,0,99
Waterhemp,2012,0,fl oz/A,0,g AE/ha,1,Impact,21,0.0001,108.1,0.0001
Waterhemp,2012,0,fl oz/A,0,g AE/ha,2,Impact,21,0.0001,26.5,0.0001
Waterhemp,2012,0,fl oz/A,0,g AE/ha,3,Impact,21,0.0001,81.9,0.0001
Waterhemp,2012,1,fl oz/A,24.5,g AE/ha,1,Impact,21,80,5.5,75
Waterhemp,2012,1,fl oz/A,24.5,g AE/ha,2,Impact,21,80,11.7,71
Waterhemp,2012,1,fl oz/A,24.5,g AE/ha,3,Impact,21,75,14.1,80
Waterhemp,2012,2,fl oz/A,49,g AE/ha,1,Impact,21,80,5.6,82
Waterhemp,2012,2,fl oz/A,49,g AE/ha,2,Impact,21,95,0.6,89
Waterhemp,2012,2,fl oz/A,49,g AE/ha,3,Impact,21,99,0.1,96
Waterhemp,2012,4,fl oz/A,98,g AE/ha,1,Impact,21,90,3.6,93
Waterhemp,2012,4,fl oz/A,98,g AE/ha,2,Impact,21,95,0.1,99
Waterhemp,2012,4,fl oz/A,98,g AE/ha,3,Impact,21,99,0,99
Waterhemp,2012,8,fl oz/A,196,g AE/ha,1,Impact,21,97,0.4,95
Waterhemp,2012,8,fl oz/A,196,g AE/ha,2,Impact,21,90,0.5,95
Waterhemp,2012,8,fl oz/A,196,g AE/ha,3,Impact,21,99,0,95
Waterhemp,2013,0,fl oz/A,0,g AE/ha,1,Impact,21,0.0001,65.4,0.0001
Waterhemp,2013,0,fl oz/A,0,g AE/ha,2,Impact,21,0.0001,25.8,0.0001
Waterhemp,2013,0,fl oz/A,0,g AE/ha,3,Impact,21,0.0001,77.4,0.0001
Waterhemp,2013,1,fl oz/A,24.5,g AE/ha,1,Impact,21,80,9.1,70
Waterhemp,2013,1,fl oz/A,24.5,g AE/ha,2,Impact,21,90,3,77
Waterhemp,2013,1,fl oz/A,24.5,g AE/ha,3,Impact,21,80,6.4,86
Waterhemp,2013,2,fl oz/A,49,g AE/ha,1,Impact,21,85,5.1,85
Waterhemp,2013,2,fl oz/A,49,g AE/ha,2,Impact,21,99,0,85
Waterhemp,2013,2,fl oz/A,49,g AE/ha,3,Impact,21,99,0.8,82
Waterhemp,2013,4,fl oz/A,98,g AE/ha,1,Impact,21,95,1.8,93
Waterhemp,2013,4,fl oz/A,98,g AE/ha,2,Impact,21,97,0.5,89
Waterhemp,2013,4,fl oz/A,98,g AE/ha,3,Impact,21,99,0,85
Waterhemp,2013,8,fl oz/A,196,g AE/ha,1,Impact,21,99,0,95
Waterhemp,2013,8,fl oz/A,196,g AE/ha,2,Impact,21,99,0,99
Waterhemp,2013,8,fl oz/A,196,g AE/ha,3,Impact,21,99,0,99
Waterhemp,2014,0,fl oz/A,0,g AE/ha,1,Impact,21,0.0001,75.2,0.0001
Waterhemp,2014,0,fl oz/A,0,g AE/ha,2,Impact,21,0.0001,56.5,0.0001
Waterhemp,2014,0,fl oz/A,0,g AE/ha,3,Impact,21,0.0001,55.3,0.0001
Waterhemp,2014,1,fl oz/A,24.5,g AE/ha,1,Impact,21,70,13,75
Waterhemp,2014,1,fl oz/A,24.5,g AE/ha,2,Impact,21,70,2.5,81
Waterhemp,2014,1,fl oz/A,24.5,g AE/ha,3,Impact,21,70,0.2,70
Waterhemp,2014,2,fl oz/A,49,g AE/ha,1,Impact,21,65,2.3,80
Waterhemp,2014,2,fl oz/A,49,g AE/ha,2,Impact,21,85,0,99
Waterhemp,2014,2,fl oz/A,49,g AE/ha,3,Impact,21,95,0,99
Waterhemp,2014,4,fl oz/A,98,g AE/ha,1,Impact,21,95,0,99
Waterhemp,2014,4,fl oz/A,98,g AE/ha,2,Impact,21,90,0,99
Waterhemp,2014,4,fl oz/A,98,g AE/ha,3,Impact,21,95,0,99
Waterhemp,2014,8,fl oz/A,196,g AE/ha,1,Impact,21,99,0.4,95
Waterhemp,2014,8,fl oz/A,196,g AE/ha,2,Impact,21,95,0,99
Waterhemp,2014,8,fl oz/A,196,g AE/ha,3,Impact,21,99,0.1,95
Waterhemp,1,NA,fl oz/A,0,g AE/ha,1,CallistoS,21,0.0001,0.37,0.0001
Waterhemp,1,NA,fl oz/A,0,g AE/ha,2,CallistoS,21,0.0001,0.4,0.0001
Waterhemp,1,NA,fl oz/A,0,g AE/ha,3,CallistoS,21,0.0001,0.35,0.0001
Waterhemp,1,NA,fl oz/A,0,g AE/ha,4,CallistoS,21,0.0001,0.45,0.0001
Waterhemp,1,NA,fl oz/A,26.25,g AE/ha,1,CallistoS,21,40,0.25,50
Waterhemp,1,NA,fl oz/A,26.25,g AE/ha,2,CallistoS,21,60,0.18,54.14012739
Waterhemp,1,NA,fl oz/A,26.25,g AE/ha,3,CallistoS,21,55,0.19,60
Waterhemp,1,NA,fl oz/A,26.25,g AE/ha,4,CallistoS,21,65,0.14,64.33121019
Waterhemp,1,NA,fl oz/A,52.5,g AE/ha,1,CallistoS,21,65,0.15,61.78343949
Waterhemp,1,NA,fl oz/A,52.5,g AE/ha,2,CallistoS,21,60,0.17,60
Waterhemp,1,NA,fl oz/A,52.5,g AE/ha,3,CallistoS,21,60,0.33,70
Waterhemp,1,NA,fl oz/A,52.5,g AE/ha,4,CallistoS,21,65,0.16,59.23566879
Waterhemp,1,NA,fl oz/A,78.75,g AE/ha,1,CallistoS,21,65,0.12,80
Waterhemp,1,NA,fl oz/A,78.75,g AE/ha,2,CallistoS,21,65,0.12,80
Waterhemp,1,NA,fl oz/A,78.75,g AE/ha,3,CallistoS,21,65,0.13,85
Waterhemp,1,NA,fl oz/A,78.75,g AE/ha,4,CallistoS,21,70,0.08,79.61783439
Waterhemp,1,NA,fl oz/A,105,g AE/ha,1,CallistoS,21,90,0.03,92.3566879
Waterhemp,1,NA,fl oz/A,105,g AE/ha,2,CallistoS,21,85,0.03,92.3566879
Waterhemp,1,NA,fl oz/A,105,g AE/ha,3,CallistoS,21,80,0.01,97.4522293
Waterhemp,1,NA,fl oz/A,105,g AE/ha,4,CallistoS,21,90,0.02,94.9044586
Waterhemp,1,NA,fl oz/A,210,g AE/ha,1,CallistoS,21,85,0.01,97.4522293
Waterhemp,1,NA,fl oz/A,210,g AE/ha,2,CallistoS,21,90,0.05,87.2611465
Waterhemp,1,NA,fl oz/A,210,g AE/ha,3,CallistoS,21,99,0.01,97.4522293
Waterhemp,1,NA,fl oz/A,210,g AE/ha,4,CallistoS,21,99,0.01,97.4522293
Waterhemp,2,NA,fl oz/A,0,g AE/ha,1,CallistoS,21,0.0001,0.33,0.0001
Waterhemp,2,NA,fl oz/A,0,g AE/ha,2,CallistoS,21,0.0001,0.27,0.0001
Waterhemp,2,NA,fl oz/A,0,g AE/ha,3,CallistoS,21,0.0001,0.41,0.0001
Waterhemp,2,NA,fl oz/A,0,g AE/ha,4,CallistoS,21,0.0001,0.33,0.0001
Waterhemp,2,NA,fl oz/A,26.25,g AE/ha,1,CallistoS,21,50,0.09,70
Waterhemp,2,NA,fl oz/A,26.25,g AE/ha,2,CallistoS,21,45,0.09,50
Waterhemp,2,NA,fl oz/A,26.25,g AE/ha,3,CallistoS,21,55,0.04,70
Waterhemp,2,NA,fl oz/A,26.25,g AE/ha,4,CallistoS,21,55,0.08,60
Waterhemp,2,NA,fl oz/A,52.5,g AE/ha,1,CallistoS,21,75,0.09,73.13432836
Waterhemp,2,NA,fl oz/A,52.5,g AE/ha,2,CallistoS,21,60,0.08,76.11940299
Waterhemp,2,NA,fl oz/A,52.5,g AE/ha,3,CallistoS,21,70,0.03,80
Waterhemp,2,NA,fl oz/A,52.5,g AE/ha,4,CallistoS,21,85,0.01,85
Waterhemp,2,NA,fl oz/A,78.75,g AE/ha,1,CallistoS,21,85,0.04,88.05970149
Waterhemp,2,NA,fl oz/A,78.75,g AE/ha,2,CallistoS,21,90,0.03,85
Waterhemp,2,NA,fl oz/A,78.75,g AE/ha,3,CallistoS,21,80,0.05,85.07462687
Waterhemp,2,NA,fl oz/A,78.75,g AE/ha,4,CallistoS,21,85,0.09,73.13432836
Waterhemp,2,NA,fl oz/A,105,g AE/ha,1,CallistoS,21,85,0.01,97.01492537
Waterhemp,2,NA,fl oz/A,105,g AE/ha,2,CallistoS,21,99,0.03,91.04477612
Waterhemp,2,NA,fl oz/A,105,g AE/ha,3,CallistoS,21,90,0.02,94.02985075
Waterhemp,2,NA,fl oz/A,105,g AE/ha,4,CallistoS,21,99,0.02,94.02985075
Waterhemp,2,NA,fl oz/A,210,g AE/ha,1,CallistoS,21,99,0.01,97.01492537
Waterhemp,2,NA,fl oz/A,210,g AE/ha,2,CallistoS,21,99,0.02,94.02985075
Waterhemp,2,NA,fl oz/A,210,g AE/ha,3,CallistoS,21,99,0.02,94.02985075
Waterhemp,2,NA,fl oz/A,210,g AE/ha,4,CallistoS,21,99,0.01,97.01492537
Waterhemp,1,NA,fl oz/A,0,g AE/ha,1,LaudisS,21,0.0001,0.42,0.0001
Waterhemp,1,NA,fl oz/A,0,g AE/ha,2,LaudisS,21,0.0001,0.38,0.0001
Waterhemp,1,NA,fl oz/A,0,g AE/ha,3,LaudisS,21,0.0001,0.31,0.0001
Waterhemp,1,NA,fl oz/A,0,g AE/ha,4,LaudisS,21,0.0001,0.39,0.0001
Waterhemp,1,NA,fl oz/A,23,g AE/ha,1,LaudisS,21,65,0.15,60
Waterhemp,1,NA,fl oz/A,23,g AE/ha,2,LaudisS,21,70,0.12,68
Waterhemp,1,NA,fl oz/A,23,g AE/ha,3,LaudisS,21,65,0.14,62.66666667
Waterhemp,1,NA,fl oz/A,23,g AE/ha,4,LaudisS,21,85,0.12,68
Waterhemp,1,NA,fl oz/A,46,g AE/ha,1,LaudisS,21,80,0.08,78.66666667
Waterhemp,1,NA,fl oz/A,46,g AE/ha,2,LaudisS,21,85,0.09,76
Waterhemp,1,NA,fl oz/A,46,g AE/ha,3,LaudisS,21,85,0.07,81.33333333
Waterhemp,1,NA,fl oz/A,46,g AE/ha,4,LaudisS,21,85,0.071,81.06666667
Waterhemp,1,NA,fl oz/A,69,g AE/ha,1,LaudisS,21,95,0.01,97.33333333
Waterhemp,1,NA,fl oz/A,69,g AE/ha,2,LaudisS,21,90,0.01,97.33333333
Waterhemp,1,NA,fl oz/A,69,g AE/ha,3,LaudisS,21,90,0.02,94.66666667
Waterhemp,1,NA,fl oz/A,69,g AE/ha,4,LaudisS,21,95,0.04,89.33333333
Waterhemp,1,NA,fl oz/A,92,g AE/ha,1,LaudisS,21,95,0.01,97.33333333
Waterhemp,1,NA,fl oz/A,92,g AE/ha,2,LaudisS,21,85,0.02,94.66666667
Waterhemp,1,NA,fl oz/A,92,g AE/ha,3,LaudisS,21,99,0.01,97.33333333
Waterhemp,1,NA,fl oz/A,92,g AE/ha,4,LaudisS,21,85,0.01,97.33333333
Waterhemp,1,NA,fl oz/A,184,g AE/ha,1,LaudisS,21,99,0.01,97.33333333
Waterhemp,1,NA,fl oz/A,184,g AE/ha,2,LaudisS,21,90,0.02,94.66666667
Waterhemp,1,NA,fl oz/A,184,g AE/ha,3,LaudisS,21,99,0.01,97.33333333
Waterhemp,1,NA,fl oz/A,184,g AE/ha,4,LaudisS,21,99,0.01,97.33333333
Waterhemp,2,NA,fl oz/A,0,g AE/ha,1,LaudisS,21,0.0001,0.33,0.0001
Waterhemp,2,NA,fl oz/A,0,g AE/ha,2,LaudisS,21,0.0001,0.27,0.0001
Waterhemp,2,NA,fl oz/A,0,g AE/ha,3,LaudisS,21,0.0001,0.49,0.0001
Waterhemp,2,NA,fl oz/A,0,g AE/ha,4,LaudisS,21,0.0001,0.41,0.0001
Waterhemp,2,NA,fl oz/A,23,g AE/ha,1,LaudisS,21,60,0.12,68
Waterhemp,2,NA,fl oz/A,23,g AE/ha,2,LaudisS,21,65,0.13,65.33333333
Waterhemp,2,NA,fl oz/A,23,g AE/ha,3,LaudisS,21,55,0.15,60
Waterhemp,2,NA,fl oz/A,23,g AE/ha,4,LaudisS,21,50,0.15,60
Waterhemp,2,NA,fl oz/A,46,g AE/ha,1,LaudisS,21,80,0.07,81.33333333
Waterhemp,2,NA,fl oz/A,46,g AE/ha,2,LaudisS,21,95,0.05,86.66666667
Waterhemp,2,NA,fl oz/A,46,g AE/ha,3,LaudisS,21,80,0.05,86.66666667
Waterhemp,2,NA,fl oz/A,46,g AE/ha,4,LaudisS,21,80,0.08,78.66666667
Waterhemp,2,NA,fl oz/A,69,g AE/ha,1,LaudisS,21,90,0.04,89.33333333
Waterhemp,2,NA,fl oz/A,69,g AE/ha,2,LaudisS,21,95,0.02,94.66666667
Waterhemp,2,NA,fl oz/A,69,g AE/ha,3,LaudisS,21,90,0.02,94.66666667
Waterhemp,2,NA,fl oz/A,69,g AE/ha,4,LaudisS,21,80,0.02,94.66666667
Waterhemp,2,NA,fl oz/A,92,g AE/ha,1,LaudisS,21,99,0.01,97.33333333
Waterhemp,2,NA,fl oz/A,92,g AE/ha,2,LaudisS,21,95,0.01,97.33333333
Waterhemp,2,NA,fl oz/A,92,g AE/ha,3,LaudisS,21,85,0.01,97.33333333
Waterhemp,2,NA,fl oz/A,92,g AE/ha,4,LaudisS,21,95,0.01,97.33333333
Waterhemp,2,NA,fl oz/A,184,g AE/ha,1,LaudisS,21,99,0.01,97.33333333
Waterhemp,2,NA,fl oz/A,184,g AE/ha,2,LaudisS,21,99,0.01,97.33333333
Waterhemp,2,NA,fl oz/A,184,g AE/ha,3,LaudisS,21,99,0.01,97.33333333
Waterhemp,2,NA,fl oz/A,184,g AE/ha,4,LaudisS,21,99,0.01,97.33333333
Waterhemp,1,NA,fl oz/A,0,g AE/ha,1,ImpactS,21,0.0001,0.26,0.0001
Waterhemp,1,NA,fl oz/A,0,g AE/ha,2,ImpactS,21,0.0001,0.34,0.0001
Waterhemp,1,NA,fl oz/A,0,g AE/ha,3,ImpactS,21,0.0001,0.21,0.0001
Waterhemp,1,NA,fl oz/A,0,g AE/ha,4,ImpactS,21,0.0001,0.49,0.0001
Waterhemp,1,NA,fl oz/A,6.125,g AE/ha,1,ImpactS,21,85,0.07,78.46153846
Waterhemp,1,NA,fl oz/A,6.125,g AE/ha,2,ImpactS,21,85,0.07,78.46153846
Waterhemp,1,NA,fl oz/A,6.125,g AE/ha,3,ImpactS,21,85,0.1,69.23076923
Waterhemp,1,NA,fl oz/A,6.125,g AE/ha,4,ImpactS,21,80,0.11,66.15384615
Waterhemp,1,NA,fl oz/A,12.25,g AE/ha,1,ImpactS,21,85,0.14,80
Waterhemp,1,NA,fl oz/A,12.25,g AE/ha,2,ImpactS,21,80,0.08,90
Waterhemp,1,NA,fl oz/A,12.25,g AE/ha,3,ImpactS,21,80,0.1,80
Waterhemp,1,NA,fl oz/A,12.25,g AE/ha,4,ImpactS,21,85,0.12,90
Waterhemp,1,NA,fl oz/A,18.375,g AE/ha,1,ImpactS,21,85,0.07,85
Waterhemp,1,NA,fl oz/A,18.375,g AE/ha,2,ImpactS,21,80,0.08,85
Waterhemp,1,NA,fl oz/A,18.375,g AE/ha,3,ImpactS,21,90,0.07,90
Waterhemp,1,NA,fl oz/A,18.375,g AE/ha,4,ImpactS,21,90,0.01,96.92307692
Waterhemp,1,NA,fl oz/A,24.5,g AE/ha,1,ImpactS,21,90,0.03,90.76923077
Waterhemp,1,NA,fl oz/A,24.5,g AE/ha,2,ImpactS,21,95,0.05,84.61538462
Waterhemp,1,NA,fl oz/A,24.5,g AE/ha,3,ImpactS,21,95,0.02,93.84615385
Waterhemp,1,NA,fl oz/A,24.5,g AE/ha,4,ImpactS,21,95,0.01,96.92307692
Waterhemp,1,NA,fl oz/A,49,g AE/ha,1,ImpactS,21,90,0.01,96.92307692
Waterhemp,1,NA,fl oz/A,49,g AE/ha,2,ImpactS,21,90,0.01,96.92307692
Waterhemp,1,NA,fl oz/A,49,g AE/ha,3,ImpactS,21,99,0.06,99
Waterhemp,1,NA,fl oz/A,49,g AE/ha,4,ImpactS,21,95,0.1,95
Waterhemp,2,NA,fl oz/A,0,g AE/ha,1,ImpactS,21,0.0001,0.63,0.0001
Waterhemp,2,NA,fl oz/A,0,g AE/ha,2,ImpactS,21,0.0001,0.6,0.0001
Waterhemp,2,NA,fl oz/A,0,g AE/ha,3,ImpactS,21,0.0001,0.67,0.0001
Waterhemp,2,NA,fl oz/A,0,g AE/ha,4,ImpactS,21,0.0001,0.63,0.0001
Waterhemp,2,NA,fl oz/A,6.125,g AE/ha,1,ImpactS,21,80,0.22,65.2173913
Waterhemp,2,NA,fl oz/A,6.125,g AE/ha,2,ImpactS,21,75,0.15,76.28458498
Waterhemp,2,NA,fl oz/A,6.125,g AE/ha,3,ImpactS,21,80,0.15,76.28458498
Waterhemp,2,NA,fl oz/A,6.125,g AE/ha,4,ImpactS,21,85,0.09,85.77075099
Waterhemp,2,NA,fl oz/A,12.25,g AE/ha,1,ImpactS,21,99,0.05,92.09486166
Waterhemp,2,NA,fl oz/A,12.25,g AE/ha,2,ImpactS,21,85,0.04,93.67588933
Waterhemp,2,NA,fl oz/A,12.25,g AE/ha,3,ImpactS,21,90,0.03,95.256917
Waterhemp,2,NA,fl oz/A,12.25,g AE/ha,4,ImpactS,21,90,0.06,90.51383399
Waterhemp,2,NA,fl oz/A,18.375,g AE/ha,1,ImpactS,21,99,0.01,98.41897233
Waterhemp,2,NA,fl oz/A,18.375,g AE/ha,2,ImpactS,21,90,0.05,92.09486166
Waterhemp,2,NA,fl oz/A,18.375,g AE/ha,3,ImpactS,21,95,0.05,92.09486166
Waterhemp,2,NA,fl oz/A,18.375,g AE/ha,4,ImpactS,21,99,0.05,92.09486166
Waterhemp,2,NA,fl oz/A,24.5,g AE/ha,1,ImpactS,21,99,0.05,92.09486166
Waterhemp,2,NA,fl oz/A,24.5,g AE/ha,2,ImpactS,21,99,0.01,98.41897233
Waterhemp,2,NA,fl oz/A,24.5,g AE/ha,3,ImpactS,21,99,0.01,98.41897233
Waterhemp,2,NA,fl oz/A,24.5,g AE/ha,4,ImpactS,21,99,0.01,98.41897233
Waterhemp,2,NA,fl oz/A,49,g AE/ha,1,ImpactS,21,99,0.01,98.41897233
Waterhemp,2,NA,fl oz/A,49,g AE/ha,2,ImpactS,21,99,0.01,98.41897233
Waterhemp,2,NA,fl oz/A,49,g AE/ha,3,ImpactS,21,99,0.01,98.41897233
Waterhemp,2,NA,fl oz/A,49,g AE/ha,4,ImpactS,21,99,0.01,98.41897233
